Name,Vial,Patch,Mpatch,Flag,Year,Date,Check,Species,Capt,Tag_start,Mark,Sex,Weight,Colour,White.spot,WS.position,Testes,Vagina,Pubic.bone,Pregnant,Nipples,Lactating,Mites,Ticks,Fleas,Fur.loss,Biopsy,Blood,Isolate,Severity,Bleeder,Comments,Urinate,Deficate,Resists,Pushing,Bites,Squeaks,Handling,Docility,Corrected.Mark
gp,gp206,led01,NA,x13,2020,28/07/2020,2,fv,n,NA,lh,m,40,,NA,,s,,,,NA,,1,1,1,0,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,NA
gp,gp216,cro1015,NA,a15,2020,07/08/2020,2,fv,n,NA,"ls,rs",m,35,,NA,,s,,,,NA,,2,0,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,NA
gp,gp217,cro1015,NA,cl40,2020,07/08/2020,2,fv,n,NA,"lh,rh",f,25,,NA,,,p,open,N,2,N,1,0,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,NA
lm,lm222,led01,NA,l29,2020,27/07/2020,1,fv,n,NA,rs,m,30,br,NA,,ns,,,,NA,,0,0,0,0,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,NA
lm,lm223,led0708,NA,p14,2020,27/07/2020,1,fv,n,NA,ls,m,30,br,NA,,s,,,,NA,,0,0,0,0,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,NA
lm,lm225,led0708,NA,p52,2020,27/07/2020,1,fv,n,NA,,,40,br,NA,,s,,,,NA,,0,0,0,0,NA,NA,NA,,,missing tail,NA,NA,NA,NA,NA,NA,NA,0,NA
lm,lm226,led0708,NA,cl58,2020,27/07/2020,1,fv,n,NA,rs,,40,br,NA,,s,,,,NA,,0,0,0,0,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,NA
lm,lm227,led01,NA,x10,2020,31/07/2020,3,fv,n,NA,NA,m,20,br,NA,,s,,,,NA,,0,0,0,0,NA,1,0,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,NA
lm,lm228,led01,NA,l29,2020,31/07/2020,3,fv,n,NA,,m,30,br,NA,,s,,,,NA,,0,2,0,0,NA,1,0,m,lm,messed up the bleed,NA,NA,NA,NA,NA,NA,NA,0,NA
lm,lm229,led01,NA,cl25,2020,31/07/2020,3,fv,n,NA,,m,20,br,NA,,s,,,,NA,,0,1,0,0,NA,1,1,m,lm,unsheated tail,NA,NA,NA,NA,NA,NA,NA,0,NA
