"","Name","Year","Date","Patch","Mpatch","Survey","Grid","Waypoint","Big_X","Big_Y","Elev_m","Code","Latrine","check_1","check_2","check_3","check_4","check_5","Comment"
"1","gp",2020,2020-07-12,"ledx","ledx","1","NC",1,227754,920299,156.683197,"sh",NA,NA,NA,NA,NA,NA,NA
"2","gp",2020,2020-07-12,"ledx","ledx","1","NC",2,227765,920282,163.90416,"f",NA,NA,NA,NA,NA,NA,NA
"3","gp",2020,2020-07-12,"ledx","ledx","1","NC",3,227774,920281,166.888824,"ss","20",NA,NA,NA,NA,NA,NA
"4","gp",2020,2020-07-12,"ledx","ledx","1","NC",4,227781,920285,169.909149,"s","1",NA,NA,NA,NA,NA,NA
"5","gp",2020,2020-07-12,"ledx","ledx","1","NC",5,227790,920278,173.150085,"s","1",NA,NA,NA,NA,NA,NA
"6","gp",2020,2020-07-12,"ledx","ledx","1","NC",6,227791,920277,173.909943,"s","20+",NA,NA,NA,NA,NA,NA
"7","gp",2020,2020-07-12,"ledx","ledx","1","NC",7,227847,920271,183.906143,"eh",NA,NA,NA,NA,NA,NA,NA
"8","gp",2020,2020-07-12,"ledx","ledx","1","NC",8,227781,920254,189.001785,"es",NA,NA,NA,NA,NA,NA,NA
"9","gp",2020,2020-07-12,"ledx","ledx","1","NC",9,227885,920033,208.202637,"eh",NA,NA,NA,NA,NA,NA,NA
"10","gp",2020,2020-07-12,"led2425","led2425","1","NC",10,228319,919403,238.673676,"sh",NA,NA,NA,NA,NA,NA,NA
"11","gp",2020,2020-07-12,"led2425","led2425","1","NC",11,228333,919370,240.918121,"f",NA,NA,NA,NA,NA,NA,NA
"12","gp",2020,2020-07-12,"led2425","led2425","1","NC",12,228373,919392,247.088409,"ss","5",NA,NA,NA,NA,NA,NA
"13","gp",2020,2020-07-12,"led2425","led2425","1","NC",13,228406,919379,248.227448,"s","10",NA,NA,NA,NA,NA,NA
"14","gp",2020,2020-07-12,"led2425","led2425","1","NC",14,228412,919421,251.100342,"es",NA,NA,NA,NA,NA,NA,NA
"15","gp",2020,2020-07-12,"led2425","led2425","1","NC",15,228520,919556,264.141022,"eh",NA,NA,NA,NA,NA,NA,NA
"16","gp",2020,2020-07-12,"led2425","led2425","1","NC",16,228414,919396,259.155792,"f",NA,NA,NA,NA,NA,NA,NA
"17","gp",2020,2020-07-12,"led2425","led2425","1","NC",17,228418,919392,258.640686,"s","2",NA,NA,NA,NA,NA,NA
"18","gp",2020,2020-07-12,"led2425","led2425","1","NC",18,228422,919389,259.027832,"s",NA,NA,NA,NA,NA,NA,NA
"19","gp",2020,2020-07-12,"led2425","led2425","1","NC",19,228438,919418,260.108154,"es","4",NA,NA,NA,NA,NA,NA
"20","gp",2020,2020-07-12,"led2425","led2425","1","NC",20,228443,919422,260.176331,"eh",NA,NA,NA,NA,NA,NA,NA
"21","gp",2020,2020-07-12,"led2425","led2425","1","NC",21,228494,919302,267.475891,"f",NA,NA,NA,NA,NA,NA,NA
"22","gp",2020,2020-07-12,"led2425","led2425","1","NC",22,228546,919267,270.034637,"s","3",NA,NA,NA,NA,NA,NA
"23","gp",2020,2020-07-12,"led2425","led2425","1","NC",23,228561,919278,270.208801,"s","8",NA,NA,NA,NA,NA,NA
"24","gp",2020,2020-07-12,"led2425","led2425","1","NC",24,228576,919285,270.664001,"s","4",NA,NA,NA,NA,NA,NA
"25","gp",2020,2020-07-12,"led2425","led2425","1","NC",25,228628,919392,276.36441,"f",NA,NA,NA,NA,NA,NA,NA
"26","gp",2020,2020-07-12,"led2425","led2425","1","NC",26,228639,919423,278.631866,"s","2",NA,NA,NA,NA,NA,NA
"27","gp",2020,2020-07-12,"led2425","led2425","1","NC",27,228643,919440,279.709167,"s","5",NA,NA,NA,NA,NA,NA
"28","gp",2020,2020-07-12,"led2425","led2425","1","NC",28,228667,919466,281.384521,"es","3",NA,NA,NA,NA,NA,NA
"29","gp",2020,2020-07-12,"led2425","led2425","1","NC",29,228687,919510,288.392029,"eh",NA,NA,NA,NA,NA,NA,NA
"30","gp",2020,2020-07-12,"led2425","led2425","1","NC",30,228905,919382,312.539246,"eh",NA,NA,NA,NA,NA,NA,NA
"31","gp",2020,2020-07-12,"led2425","led2425","1","NC",31,228784,919243,298.405029,"eh",NA,NA,NA,NA,NA,NA,NA
"32","gp",2020,2020-07-12,"led2425","led2425","1","NC",32,228754,919232,293.988373,"es","4",NA,NA,NA,NA,NA,NA
"33","gp",2020,2020-07-12,"led2425","led2425","1","NC",33,228625,919218,284.351135,"fv",NA,NA,NA,NA,NA,NA,NA
"34","gp",2020,2020-07-12,"led2425","led2425","1","NC",34,228620,919223,282.612335,"f",NA,NA,NA,NA,NA,NA,NA
"35","gp",2020,2020-07-12,"led2425","led2425","1","NC",35,228619,919218,283.250031,"s","7",NA,NA,NA,NA,NA,NA
"36","gp",2020,2020-07-12,"led2425","led2425","1","NC",36,228601,919125,286.761902,"f",NA,NA,NA,NA,NA,NA,NA
"37","gp",2020,2020-07-12,"led2425","led2425","1","NC",37,228654,919007,295.005341,"es","1",NA,NA,NA,NA,NA,NA
"38","gp",2020,2020-07-12,"led2425","led2425","1","NC",38,228650,918919,301.693115,"eh",NA,NA,NA,NA,NA,NA,NA
"39","gp",2020,2020-07-12,"led2425","led2425","1","NC",39,228596,918969,300.486359,"eh",NA,NA,NA,NA,NA,NA,NA
"40","gp",2020,2020-07-12,"led2425","led2425","1","NC",40,228589,919048,294.75177,"f",NA,NA,NA,NA,NA,NA,NA
"41","gp",2020,2020-07-12,"led2425","led2425","1","NC",41,228555,919008,299.411255,"eh",NA,NA,NA,NA,NA,NA,NA
"42","gp",2020,2020-07-12,"led2425","led2425","1","NC",42,228514,919242,284.728302,"s","2",NA,NA,NA,NA,NA,NA
"43","gp",2020,2020-07-12,"led2425","led2425","1","NC",43,228496,919292,283.673126,"fv",NA,NA,NA,NA,NA,NA,NA
"44","gp",2020,2020-07-12,"led2425","led2425","1","NC",44,228488,919295,283.391022,"s","3",NA,NA,NA,NA,NA,NA
"45","gp",2020,2020-07-12,"led2425","led2425","1","NC",45,228483,919302,282.901337,"s","6",NA,NA,NA,NA,NA,NA
"46","gp",2020,2020-07-12,"led2425","led2425","1","NC",46,228473,919288,283.641479,"s","1",NA,NA,NA,NA,NA,NA
"47","gp",2020,2020-07-12,"led2425","led2425","1","NC",47,228461,919269,283.718018,"f",NA,NA,NA,NA,NA,NA,NA
"48","gp",2020,2020-07-12,"led2425","led2425","1","NC",48,228477,919223,283.908691,"eh",NA,NA,NA,NA,NA,NA,NA
"49","gp",2020,2020-07-12,"led2425","led2425","1","NC",49,228359,919157,283.00705,"eh",NA,NA,NA,NA,NA,NA,NA
"50","gp",2020,2020-07-12,"led2425","led2425","1","NC",50,228361,919170,282.043671,"es","6",NA,NA,NA,NA,NA,NA
"51","gp",2020,2020-07-12,"led2425","led2425","1","NC",51,228371,919182,282.34256,"s","2",NA,NA,NA,NA,NA,NA
"52","gp",2020,2020-07-12,"led2425","led2425","1","NC",52,228377,919195,281.543396,"s","4",NA,NA,NA,NA,NA,NA
"53","gp",2020,2020-07-12,"led2425","led2425","1","NC",53,228389,919225,282.682861,"s","2",NA,NA,NA,NA,NA,NA
"54","gp",2020,2020-07-12,"led2425","led2425","1","NC",54,228390,919228,281.767883,"s","6",NA,NA,NA,NA,NA,NA
"55","gp",2020,2020-07-12,"led2223","led2223","1","NC",55,227553,919194,263.854431,"sh",NA,NA,NA,NA,NA,NA,NA
"56","gp",2020,2020-07-12,"led2223","led2223","1","NC",56,227475,919004,263.54071,"s","7",NA,NA,NA,NA,NA,NA
"57","gp",2020,2020-07-12,"led2223","led2223","1","NC",57,227049,918684,275.85022,"es","1",NA,NA,NA,NA,NA,NA
"58","gp",2020,2020-07-12,"led2223","led2223","1","NC",58,226967,918640,281.507629,"eh",NA,NA,NA,NA,NA,NA,NA
"59","gp",2020,2020-07-12,"led2223","led2223","1","NC",59,227512,919104,261.110107,"ss","3",NA,NA,NA,NA,NA,NA
"60","gp",2020,2020-07-12,"led2728","led2728","1","NC",60,227132,920075,234.803879,"sh",NA,NA,NA,NA,NA,NA,NA
"61","gp",2020,2020-07-12,"led2728","led2728","1","NC",61,227031,920068,230.941193,"ss","4",NA,NA,NA,NA,NA,NA
"62","gp",2020,2020-07-12,"led2728","led2728","1","NC",62,226997,920073,230.142059,"es","4",NA,NA,NA,NA,NA,NA
"63","gp",2020,2020-07-12,"led2728","led2728","1","NC",63,226419,920320,210.459366,"eh",NA,NA,NA,NA,NA,NA,NA
"64","gp",2020,2020-07-13,"led09","led09","1","NC",64,224708,913531,181.387909,"sh",NA,NA,NA,NA,NA,NA,NA
"65","gp",2020,2020-07-13,"led09","led09","1","NC",65,224703,913495,138.89769,"ss","3",NA,NA,NA,NA,NA,NA
"66","gp",2020,2020-07-13,"led09","led09","1","NC",66,224704,913469,139.860428,"s",NA,NA,NA,NA,NA,NA,NA
"67","gp",2020,2020-07-13,"led09","led09","1","NC",67,224706,913404,142.750641,"es",NA,NA,NA,NA,NA,NA,NA
"68","gp",2020,2020-07-13,"led09","led09","1","NC",68,224775,913403,145.65979,"eh",NA,NA,NA,NA,NA,NA,NA
"69","gp",2020,2020-07-13,"led12","led12","1","NC",69,224196,913318,126.897034,"sh",NA,NA,NA,NA,NA,NA,NA
"70","gp",2020,2020-07-13,"led12","led12","1","NC",70,223955,913365,136.667358,"eh",NA,NA,NA,NA,NA,NA,NA
"71","gp",2020,2020-07-13,"led11","led11","1","NC",71,223581,913180,144.094574,"sh",NA,NA,NA,NA,NA,NA,NA
"72","gp",2020,2020-07-13,"led11","led11","1","NC",72,223658,913152,141.691513,"ss","20+",NA,NA,NA,NA,NA,NA
"73","gp",2020,2020-07-13,"led11","led11","1","NC",73,223664,913149,142.242493,"s","16",NA,NA,NA,NA,NA,NA
"74","gp",2020,2020-07-13,"led11","led11","1","NC",74,223698,913159,141.047546,"s","8",NA,NA,NA,NA,NA,NA
"75","gp",2020,2020-07-13,"led11","led11","1","NC",75,223726,913151,140.561157,"s","2",NA,NA,NA,NA,NA,NA
"76","gp",2020,2020-07-13,"led11","led11","1","NC",76,223751,913150,140.335541,"s",NA,NA,NA,NA,NA,NA,NA
"77","gp",2020,2020-07-13,"led11","led11","1","NC",77,223769,913156,138.876999,"s",NA,NA,NA,NA,NA,NA,NA
"78","gp",2020,2020-07-13,"led11","led11","1","NC",78,223802,913155,139.549652,"es",NA,NA,NA,NA,NA,NA,NA
"79","gp",2020,2020-07-13,"led11","led11","1","NC",79,224180,913161,128.60051,"eh",NA,NA,NA,NA,NA,NA,NA
"80","gp",2020,2020-07-13,"led18","led18","1","NC",80,225039,916401,154.298264,"sh",NA,NA,NA,NA,NA,NA,NA
"81","gp",2020,2020-07-13,"led18","led18","1","NC",81,225176,917011,147.327393,"eh",NA,NA,NA,NA,NA,NA,NA
"82","gp",2020,2020-07-13,"led18","led18","1","NC",82,225167,916869,148.474106,"f",NA,NA,NA,NA,NA,NA,NA
"83","gp",2020,2020-07-13,"led18","led18","1","NC",83,225067,916796,150.435349,"eh",NA,NA,NA,NA,NA,NA,NA
"84","gp",2020,2020-07-13,"led17","led17","1","NC",84,224879,916096,156.991364,"sh",NA,NA,NA,NA,NA,NA,NA
"85","gp",2020,2020-07-13,"led17","led17","1","NC",85,224978,916034,164.914917,"eh",NA,NA,NA,NA,NA,NA,NA
"86","gp",2020,2020-07-13,"led16","led16","1","NC",86,224742,915176,158.061478,"sh",NA,NA,NA,NA,NA,NA,NA
"87","gp",2020,2020-07-13,"led16","led16","1","NC",87,224987,915243,180.204422,"eh",NA,NA,NA,NA,NA,NA,NA
"88","gp",2020,2020-07-13,"led19","led19","1","NC",88,225115,918410,120.013321,"sh",NA,NA,NA,NA,NA,NA,NA
