Name,Vial,Patch,Mpatch,Flag,Year,Date,Check,Species,Capt,Tag_start,Mark,Sex,Weight,Colour,White.spot,WS.position,Testes,Vagina,Pubic.bone,Pregnant,Nipples,Lactating,Mites,Ticks,Fleas,Fur.loss,Biopsy,Blood,Isolate,Severity,Bleeder,Comments,Urinate,Deficate,Resists,Pushing,Bites,Squeaks,Handling,Docility
gp,,SGI39,,cl78,2020,2020-07-22,3,wv,r,10502190,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,,sgi39,,aa05,2020,2020-07-22,3,wv,r,10517254,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,,sgi39,,p26,2020,2020-07-22,3,wv,r,10866293,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,,sgi39,,da4,2020,2020-07-22,3,wv,r,5599480,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,,sgi39,,c12,2020,2020-07-22,3,wv,r,5670699,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,gp200,sgi39,,x33,2020,2020-07-22,3,wv,n,10526054,,f,100,bl,1,head,,np,closed,N,1,N ,,0,0,0,1,1,1,m,lm,,0,0,1,0,1,2,1,5
gp,,sgi39,,p24,2020,2020-07-22,3,wv,r,10516903,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,gp201,sgi44,,cl2,2020,2020-07-22,3,wv,n,10516953,,m,155,bl,1,head,s,,,,,,5,3,0,1,1,1,1,m,lm,,0,0,1,1,1,2,2,7
gp,,sgi44,,p63,2020,2020-07-22,3,wv,r,5668018,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,,sgi44,,fo9,2020,2020-07-22,3,wv,r,10504883,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,gp202,sgi0103,,l14,2020,2020-07-22,2,wv,n,10501714,,f,150,bl,1,head,,p,open,N,1,N ,,1,0,0,1,1,1,M,,lm,0,0,1,1,1,1,1,5
gp,,sgi0103,,cl25,2020,2020-07-22,2,wv,r,10848959,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,,sgi0103,,x12,2020,2020-07-22,2,wv,r,6476256,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,gp206,led01,,x13,2020,2020-07-28,2,fv,,,lh,m,40,,,,s,,,,,,1,1,1,0,,,,,,,,,,,,,,0
gp,,cro0708,,cl27,2020,2020-08-02,2,wm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
gp,gp212,cro0708,,p15,2020,2020-08-02,2,wv,n,5597753,,f,200,bl,2,tail,,p,open,Y,2,N ,2,2,0,0,1,,,,,,0,1,1,0,2,2,2,8
gp,gp213,led2223,,b55,2020,2020-08-02,3,wv,n,56574918,,f,105,bl/br,0,,,p,closed,N,1,N ,6,8,2,0,1,1,1,m,lm,,0,0,1,1,1,1,1,5
gp,,led2223,,a54,2020,2020-08-02,3,wv,r,10864370,,,,,,,,,,,,,,,0,,,1,1,m,lm,,,,,,,,,0
gp,,led2728,,p57,2020,2020-08-02,3,wv,r,5600773,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
gp,gp214,led2728,,cl95,2020,2020-08-02,3,wv,r,5673698,,f,65,bl,1,head,,np,closed,N,1,N ,4,0,1,0,1,1,1,m,lm,,0,1,1,1,0,2,1,6
