Name,Vial,Patch,Mpatch,Flag,Year,Date,Check,Species,Capt,Tag_start,Mark,Sex,Weight,Colour,White.spot,WS.position,Testes,Vagina,Pubic.bone,Pregnant,Nipples,Lactating,Mites,Ticks,Fleas,Fur.loss,Biopsy,Blood,Isolate,Severity,Bleeder,Comments,Urinate,Deficate,Resists,Pushing,Bites,Squeaks,Handling,Docility
elb,lm221,led01,,x2,2020,2020-07-27,1,wv,n,,5663705,f,110,bl,1,other,NA,p,closed,N,1,N ,NA,2,0,0,1,1,1,m,lm,white spot location- head and tail,0,0,1,1,1,1,1,5
elb,elb01,led01,,cl18,2020,2020-07-27,1,wv,n,,6473304,f,105,bl,1,head,NA,p,closed,N,1,N ,0,1,0,0,1,1,1,m,lm,,1,1,1,0,2,2,1,8
elb,elb02,led01,,cl42,2020,2020-07-27,1,wv,n,,5664242,f,160,bl,1,head,NA,p,open,N,2,Y,NA,1,0,0,1,1,1,m,lm,,0,1,1,0,2,0,1,5
elb,elb03,led01,,cl77,2020,2020-07-27,1,wv,n,,5664242,m,125,bl,1,head,s,NA,NA,NA,NA,NA,0,0,1,0,1,1,1,m,lm,,0,0,1,1,0,2,1,5
elb,elb04,led01,,cl22,2020,2020-07-27,1,wv,n,,5598297,,,,,,,,,,,,,,1,,,,,,,escaped,,,,,,,,0
elb,,led01,,cl18,2020,2020-07-28,2,wv,r,,5662705,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0
elb,,led01,,cl42,2020,2020-07-28,2,wv,r,,5667730,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
elb,elb05,led01,,l14,2020,2020-07-28,2,wv,n,,6491100,f,230,bl/br,0,NA,NA,p,open,Y,3,N ,NA,3,0,0,1,,,,,,0,1,1,1,1,1,1,6
elb,,led01,,blank,2020,2020-07-28,2,wv,r,,10847528,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
elb,elb06,led01,,x33,2020,2020-07-28,2,wv,n,,6496544,f,160,bl,1,head,NA,np,open,N,2,N ,NA,1,0,0,1,,,,,,0,0,1,0,2,2,1,6
elb,,led01,,da9,2020,2020-07-28,2,wv,r,,5598297,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
elb,gp207,led0708,,cl58,2020,2020-07-28,2,fv,n,,"ls, rs",m,45,br,0,NA,S,NA,NA,NA,NA,NA,0,0,0,0,NA,,,,,,0,1,0,0,1,1,1,4
elb,,led01,,c37,2020,2020-07-31,3,wv,r,,5667730,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
elb,,led01,,x33,2020,2020-07-31,3,wv,r,,10847528,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
elb,,led01,,x25,2020,2020-07-31,3,wv,r,,10872452,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
elb,elb08,led01,,cl54,2020,2020-07-31,3,wv,n,,10872258,m,210,bl,2,head,s,NA,NA,NA,NA,NA,0,1,0,0,1,,0,,,,1,1,1,1,0,2,1,7
elb,elb09,led01,,cl81,2020,2020-07-31,3,wv,n,,6501927,f,,bl,0,,NA,p,open,N,2,N ,,,,,,,,,,"growth on side of head, kink in tail",,,,,,,,0
