Name,Vial,Patch,Mpatch,Flag,Year,Date,Check,Species,Capt,Tag_start,Mark,Sex,Weight,Colour,White.spot,WS.position,Testes,Vagina,Pubic.bone,Pregnant,Nipples,Lactating,Mites,Ticks,Fleas,Fur.loss,Biopsy,Blood,Isolate,Severity,Bleeder,Comments,Urinate,Deficate,Resists,Pushing,Bites,Squeaks,Handling,Docility
gp,203,led09,,cl38,2020,27/07/2020,1,wv,n,,10526446,m,150,bl,1,head,s,,,,,,2,0,0,0,1,0,,,,,0,0,0,0,1,1,0,2
gp,204,led09,,p27,2020,27/07/2020,1,wv,n,,10505346,m,160,bl,0,,s,,,,,,3,0,0,1,1,0,,,,,1,1,1,0,1,1,1,6
hb,1,led09,,d16,2020,27/07/2020,1,wv,n,,10504863,m,110,bl,1,head,s,,,,,,3,0,0,0,1,0,,,,,0,1,0,0,1,1,0,3
gp,205,led11,,p42,2020,27/07/2020,1,wv,n,,10502085,m,100,bl,1,head,s,,,,,,NA,0,0,0,1,0,,,,,1,0,0,0,0,2,0,3
hb,2,led09,,b4,2020,28/07/2020,2,wv,n,,6470463,f,180,bl,1,head,,p,open,N,4,N ,0,0,1,1,1,1,,m,lm,,1,1,0,1,1,0,1,5
gp,204,led09,,blank,2020,28/07/2020,2,wv,r,,10505346,m,,,,,,,,,,,NA,0,0,,0,1,,m,lm,,0,0,0,0,1,1,1,3
hb,3,led11,,p42,2020,28/07/2020,2,wv,n,,5599070,m,200,bl,1,head,s,,,,,,1,0,0,1,1,1,,m,lm,,0,1,1,1,2,1,1,7
hb,4,led11,,blank,2020,28/07/2020,2,wv,n,,5675037,f,165,bl,0,,,p,open,Y,4,Y,1,0,0,2,1,1,,m,lm,,1,0,1,1,0,0,1,4
gp,205,led11,,blank,2020,28/07/2020,2,wv,r,,6502085,m,,,,,,,,,,,1,0,0,,0,1,,m,lm,,1,0,0,0,0,0,0,1
hb,5,led09,,cl37,2020,28/07/2020,2,wv,r,,5672115,m,,,,,,,,,,,1,0,2,,0,1,,m,lm,,0,1,1,1,1,1,1,6
hb,6,cro0708,,blue,2020,01/08/2020,1,wv,n,,10863945,,,bl,,,,,,,,,,,,,0,0,,,,Escaped after tagged,0,0,1,1,2,1,3,8
hb,7,cro0708,,cl90,2020,01/08/2020,1,wv,n,,ls,m,120,bl,1,head,s,,,,,,1,0,0,0,1,1,,m,lm,,0,0,1,1,2,1,2,7
hb,8,cro0708,,b29,2020,01/08/2020,1,wv,n,,rs,f,75,bl,1,head,,np,closed,N,1,N ,3,0,0,0,1,1,,m,lm,,1,1,0,0,0,3,0,5
