Name,Vial,Patch,Mpatch,Flag,Year,Date,Check,Species,Capt,Tag_start,Mark,Sex,Weight,Colour,White.spot,WS.position,Testes,Vagina,Pubic.bone,Pregnant,Nipples,Lactating,Mites,Ticks,Fleas,Fur.loss,Biopsy,Blood,Isolate,Severity,Bleeder,Comments,Urinate,Deficate,Resists,Pushing,Bites,Squeaks,Handling,Docility
vc,vc01,sgi39,,aa05,2020,2020-07-20,1,wv,n,,517254,m,85,bl/br,2,head,ns,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,m,xl,,1,1,0,0,0,1,0,3
vc,vc02,sgi39,,p4,2020,2020-07-20,1,wv,n,,516709,m,215,bl/br,1,head,s,NA,NA,NA,NA,NA,0,10,0,5,1,1,1,m,xl,,1,1,1,0,1,1,1,6
vc,vc03,sgi39,,cl78,2020,2020-07-20,1,wv,n,,10502190,m,85,bl,2,head,ns,NA,NA,NA,NA,NA,0,1,1,0,1,1,1,m,xl,,0,0,1,0,1,2,1,5
vc,vc04,sgi39,,p26,2020,2020-07-20,1,wv,n,,566138,m,65,bl,2,head,ns,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,m,xl,,1,1,1,0,0,2,1,6
vc,vc05,sgi44,,da8,2020,2020-07-20,1,wv,n,,5668018,f,245,bl,1,head,NA,p,open,Y,2,N,0,0,1,0,0,1,1,m,xl,,1,0,1,0,1,1,1,5
vc,vc06,sgi44,,f09,2020,2020-07-20,1,wv,n,,10504883,f,130,bl,1,head,NA,p,closed,N,1,N,0,2,0,0,1,1,1,m,xl,,1,1,1,1,2,2,2,10
vc,vc07,led01,,blank,2020,2020-07-27,1,wv,n,,10847528,m,130,bl,1,head,ms,NA,NA,NA,NA,NA,0,2,0,0,1,1,0,m,lm,,1,1,1,1,2,1,1,8
vc,vc08,led01,,cl25,2020,2020-07-27,1,wv,n,,10872452,f,110,bl,0,NA,NA,np,closed,N,1,N,0,3,0,0,1,1,1,m,lm,,0,1,1,1,1,1,1,6
vc,vc09,led01,,cl81,2020,2020-07-27,1,wv,n,,10871987,m,125,bl,1,head,ms,NA,NA,NA,NA,NA,1,2,3,15,1,1,1,m,lm,"Had a kinky tail and broken toe, poor mr vole ",1,0,1,1,2,1,1,7
vc,vc10,led0708,,da4,2020,2020-07-27,1,wv,n,,10875950,m,125,bl,0,NA,ms,NA,NA,NA,NA,NA,2,2,0,0,1,0,0,NA,NA,,1,1,1,1,2,1,2,9
vc,vc11,led0708,,cl78,2020,2020-07-27,1,fv,n,,"ls, lh ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,escaped ,NA,NA,NA,NA,NA,NA,NA,NA
vc,,led01,,x25,2020,2020-07-27,2,wv,r,,10872452,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
vc,,led01,,p63,2020,2020-07-28,2,wv,r,,5664242,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
vc,,led01,,cl81,2020,2020-07-28,2,wv,r,,10871987,,,,,,,,,,,,,,0,,,,,,,Kinky tail returns!,,,,,,,,
vc,,led0708,,cl78,2020,2020-07-28,2,wv,r,,10875950,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
vc,vc12,led09,,b4,2020,2020-07-31,3,wv,n,,10877360,m,95,bl,3,head,ns,NA,NA,NA,NA,NA,0,1,2,0,1,0,0,NA,NA,Very cute with white spot,0,0,0,0,1,2,0,3
vc,vc13,led09,,p37,2020,2020-07-31,3,wv,n,,10864741,f,220,bl/br,0,NA,NA,p,open,Y,2,N ,0,0,4,0,1,0,0,NA,NA,pretty chill for pregnant female,0,1,1,0,0,2,0,4
vc,vc14,led11,,cl33,2020,2020-07-31,3,wv,n,,5595483,m,,bl,1,other,s,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,NA,NA,white spot location was a few hairs on head and back. Bit me and escaped before I could get wieght and biopsy ,1,1,1,1,2,2,2,10
vc,vc15,led11,,p42,2020,2020-07-31,3,wv,n,,5663758,m,55,bl,1,other,ns,NA,NA,NA,NA,NA,3,0,0,0,1,0,0,NA,NA,white spot location was a few hairs on head and back.  ,1,1,1,1,0,2,0,6
