"","X.1","X","Name","Vial","Patch","Mpatch","Flag","Year","Date","Check","Species","Capt","Tag_start","Mark","Sex","Weight","Colour","White.spot","WS.position","Testes","Vagina","Pubic.bone","Pregnant","Nipples","Lactating","Mites","Ticks","Fleas","Fur.loss","Biopsy","Blood","Isolate","Severity","Bleeder","Comments","Urinate","Deficate","Resists","Pushing","Bites","Squeaks","Handling","Docility","Corrected.Mark"
"1",1,1,"gp","","sgi39",NA,"cl78",2020,"2020-07-22",3,"wv","r","10502190",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10502190"
"2",2,2,"gp","","sgi39",NA,"aa05",2020,"2020-07-22",3,"wv","r","10517254",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10517254"
"3",3,3,"gp","","sgi39",NA,"p26",2020,"2020-07-22",3,"wv","r","10866293",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10866293"
"4",4,4,"gp","","sgi39",NA,"da4",2020,"2020-07-22",3,"wv","r","5599480",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5599480"
"5",5,5,"gp","","sgi39",NA,"c12",2020,"2020-07-22",3,"wv","r","5670699",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5670699"
"6",6,6,"gp","gp200","sgi39",NA,"x33",2020,"2020-07-22",3,"wv","n","10526054",NA,"f",100,"bl",1,"head","","np","closed","N",1,"N",NA,0,0,0,1,1,1,"m","lm","",0,0,1,0,1,2,1,5,"10526054"
"7",7,7,"gp","","sgi39",NA,"p24",2020,"2020-07-22",3,"wv","r","10516903",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10516903"
"8",8,8,"gp","gp201","sgi44",NA,"cl2",2020,"2020-07-22",3,"wv","n","10516953",NA,"m",155,"bl",1,"head","s","","","",NA,"",5,3,0,1,1,1,1,"m","lm","",0,0,1,1,1,2,2,7,"10516953"
"9",9,9,"gp","","sgi44",NA,"p63",2020,"2020-07-22",3,"wv","r","5668018",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5668018"
"10",10,10,"gp","","sgi44",NA,"fo9",2020,"2020-07-22",3,"wv","r","10504883",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10504883"
"11",11,11,"gp","gp202","sgi0103",NA,"l14",2020,"2020-07-22",2,"wv","n","10501714",NA,"f",150,"bl",1,"head","","p","open","N",1,"N",NA,1,0,0,1,1,1,"m","","lm",0,0,1,1,1,1,1,5,"10501714"
"12",12,12,"gp","","sgi0103",NA,"cl25",2020,"2020-07-22",2,"wv","r","10848959",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10848959"
"13",13,13,"gp","","sgi0103",NA,"x12",2020,"2020-07-22",2,"wv","r","6476256",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"6476256"
"14",14,14,"gp","gp206","led01",NA,"x13",2020,"2020-07-28",2,"fv","n",NA,"lh","m",40,"",NA,"","s","","","",NA,"",1,1,1,0,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"15",15,15,"gp","","cro0708",NA,"cl27",2020,"2020-08-02",2,"wm",NA,NA,"","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"16",16,16,"gp","gp212","cro0708",NA,"p15",2020,"2020-08-02",2,"wv","n","5597753",NA,"f",200,"bl",2,"tail","","p","open","Y",2,"N",2,2,0,0,1,NA,NA,"","","",0,1,1,0,2,2,2,8,"5597753"
"17",17,17,"gp","gp213","led2223",NA,"b55",2020,"2020-08-02",3,"wv","n","56574918",NA,"f",105,"bl/br",0,"","","p","closed","N",1,"N",6,8,2,0,1,1,1,"m","lm","",0,0,1,1,1,1,1,5,"56574918"
"18",18,18,"gp","","led2223",NA,"a54",2020,"2020-08-02",3,"wv","r","10864370",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"10864370"
"19",19,19,"gp","","led2728",NA,"p57",2020,"2020-08-02",3,"wv","r","5600773",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5600773"
"20",20,20,"gp","gp214","led2728",NA,"cl95",2020,"2020-08-02",3,"wv","r","5673698",NA,"f",65,"bl",1,"head","","np","closed","N",1,"N",4,0,1,0,1,1,1,"m","lm","",0,1,1,1,0,2,1,6,"5673698"
"21",21,21,"gp","gp215","cro1015",NA,"cl64",2020,"2020-08-07",2,"wv","n","5674075",NA,"f",75,"bl",1,"head","","np","closed","N",1,"N",5,1,0,0,1,NA,NA,"","","",1,0,0,0,2,1,1,5,"5674075"
"22",22,22,"gp","gp216","cro1015",NA,"a15",2020,"2020-08-07",2,"fv","n",NA,"ls,rs","m",35,"",NA,"","s","","","",NA,"",2,0,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"23",23,23,"gp","gp217","cro1015",NA,"cl40",2020,"2020-08-07",2,"fv","n",NA,"lh,rh","f",25,"",NA,"","","p","open","N",2,"N",1,0,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"24",24,24,"gp","","cro1015",NA,"blank",2020,"2020-08-07",2,"fv","r",NA,"rh","",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,NA
"25",25,25,"gp","","led2425",NA,"ab54",2020,"2020-08-08",3,"wv","r","6470023",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"6470025"
"26",26,26,"gp","gp218","led2425",NA,"k5",2020,"2020-08-08",3,"wv","n","5681096",NA,"m",NA,"bl",NA,"","s","","","",NA,"",2,0,0,NA,NA,NA,NA,"","","",1,0,1,0,1,2,1,6,"5681096"
"27",27,27,"gp","","led2425",NA,"aa71",2020,"2020-08-08",3,"wv","r","6498073",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"6498073"
"28",28,28,"gp","gp219","led2425",NA,"p74",2020,"2020-08-08",3,"wv","n","5595940",NA,"m",90,"bl",0,"","s","","","",NA,"",2,0,0,NA,NA,NA,NA,"","","",0,1,0,0,1,1,1,4,"5595940"
"29",29,29,"gp","gp220","led2425",NA,"b25",2020,"2020-08-08",3,"wv","n","10501905",NA,"f",95,"bl",0,"","","p","closed","N",2,"N",2,0,0,0,1,NA,NA,"","","",0,1,0,0,2,0,1,4,"10501905"
"30",30,30,"gp","","lei11",NA,"aa28",2020,"2020-08-13",1,"wv",NA,"","","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","escaped",NA,NA,NA,NA,NA,NA,NA,0,""
"31",31,31,"gp","","lei11",NA,"aa11",2020,"2020-08-13",1,"wv",NA,"","","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","escaped",NA,NA,NA,NA,NA,NA,NA,0,""
"32",32,32,"gp","gp221","lei11",NA,"cl54",2020,"2020-08-12",2,"wv","n","6498878",NA,"f",155,"bl",0,"","","p","closed","N",2,"N",2,0,0,0,1,1,1,"m","xl","",0,1,0,0,1,0,0,2,"6498878"
"33",33,33,"gp","gp222","lei11",NA,"aa74",2020,"2020-08-12",2,"wv","n","10525765",NA,"m",105,"bl",2,"head","s","","","",NA,"",2,0,0,0,1,1,1,"m","xl","",1,0,1,1,2,1,1,7,"10525765"
"34",34,34,"gp","gp223","led19",NA,"cl38",2020,"2020-08-12",2,"wv","n","5674338",NA,"m",40,"bl",0,"","ns","","","",NA,"",6,1,1,0,1,1,1,"m","xl","",1,1,0,0,1,1,1,5,"5674338"
"35",35,35,"gp","","led19",NA,"x27",2020,"2020-08-12",2,"wv","r","5678812",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5678812"
"36",36,36,"gp","gp224","led19",NA,"b86",2020,"2020-08-12",2,"wv","n","5597354",NA,"m",150,"bl",0,"","s","","","",NA,"",1,4,0,0,1,1,1,"m","xl","",1,1,1,1,1,1,2,8,"5597354"
"37",37,37,"gp","","sgi3637",NA,"x25",2020,"2020-08-17",1,"wv","nr","5664408",NA,"m",190,"bl/br",0,"","s","","","",NA,"",1,3,0,0,NA,NA,NA,"","","",0,1,0,1,1,0,0,3,"5664408"
"38",38,38,"gp","gp225","sgi30",NA,"x5",2020,"2020-08-18",2,"wv","n","5674301",NA,"f",95,"bl",1,"head","","np","closed","N",1,"N",4,0,0,0,1,NA,NA,"","","pit tag lost and replaced with 6484273",1,1,0,0,1,0,0,3,"5674301"
"39",39,39,"gp","gp226","sgi30",NA,"b7",2020,"2020-08-18",2,"wv","n","5674861",NA,"f",100,"bl",0,"","","np","closed","N",1,"N",5,5,0,0,1,NA,NA,"","","",1,1,0,0,1,1,1,5,"5674861"
"40",40,40,"gp","","sgi3637",NA,"p21",2020,"2020-08-19",3,"wv","r","5664408",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5664408"
"41",41,41,"gp","gp227","sgi3637",NA,"blank",2020,"2020-08-19",3,"wv","n","5806334",NA,"f",160,"bl",0,"","","p","open","Y",3,"Y",6,0,0,1,1,NA,NA,"","","",0,1,1,1,1,1,1,6,"5806334"
"42",42,42,"lm","lm200","led1415",NA,"cl71",2020,"2020-07-18",1,"wv","n","5596071",NA,"m",200,"bl",0,NA,"ms",NA,NA,NA,NA,NA,1,0,0,0,1,NA,NA,"","","",1,0,1,1,0,2,1,6,"5596071"
"43",43,43,"lm","","led1415",NA,"cl18",2020,"2020-07-18",1,"wv","n","","","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","escaped",NA,NA,NA,NA,NA,NA,NA,0,""
"44",44,44,"lm","lm202","led1415",NA,"c4",2020,"2020-07-19",2,"wv","n","6485276",NA,"f",200,"bl",1,"chin",NA,"p","open","N",3,"Y",0,0,0,0,1,1,1,"m","lm","",0,0,1,1,1,0,1,4,"6485276"
"45",45,45,"lm","lm203","led1415",NA,"d06",2020,"2020-07-19",2,"wv","n","5663067",NA,"f",110,"bl",0,NA,NA,"p","closed","N",3,"N",0,0,0,0,1,1,1,"m","lm","",NA,NA,NA,NA,NA,NA,NA,0,"5663067"
"46",46,46,"lm","lm200","led1415",NA,"x29",2020,"2020-07-20",3,"wv","r","5596071",NA,"m",NA,"bl",NA,"","","","","",NA,"",NA,NA,0,NA,NA,1,1,"m","lm","couldn't get big enough blooss sample",NA,NA,NA,NA,NA,NA,NA,0,"5596071"
"47",47,47,"lm","lm202","led1415",NA,"f28",2020,"2020-07-20",3,"wv","r","6485276",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"6485276"
"48",48,48,"lm","lm205","led1415",NA,"cl40",2020,"2020-07-20",3,"wv","n","5663009",NA,"f",150,"bl",0,NA,NA,"p","open","Y",3,"Y",0,0,0,0,1,1,1,"m","lm","",1,1,1,1,1,1,1,7,"5663009"
"49",49,49,"lm","lm206","sgi39",NA,"x33",2020,"2020-07-21",2,"wv","n","5601272",NA,"f",180,"bl/br",0,NA,NA,"np","open","Y",4,"Y",NA,1,0,0,1,1,1,"m","xl","",0,0,1,1,0,1,1,4,"5601272"
"50",50,50,"lm","lm207","sgi39",NA,"cl54",2020,"2020-07-21",2,"wv","n","5670699",NA,"f",205,"bl",0,NA,NA,"p","open","Y",3,"N",0,1,0,0,1,1,1,"m","xl","",NA,NA,NA,NA,NA,NA,NA,0,"5670699"
"51",51,51,"lm","lm208","sgi39",NA,"p26",2020,"2020-07-21",2,"wv","n","863952",NA,"m",60,"",1,"back","ns","","","",NA,"",0,3,0,0,1,1,1,"m","xl","",1,0,1,1,1,2,1,7,"863952"
"52",52,52,"lm","lm209","sgi39",NA,"da4",2020,"2020-07-21",2,"wv","n","5399420",NA,"f",NA,"bl",1,"back",NA,"np","closed","Y",3,"Y",0,2,0,0,1,1,1,"m","xl","",NA,NA,NA,NA,NA,NA,NA,0,"5399420"
"53",53,53,"lm","lm210","sgi39",NA,"p24",2020,"2020-07-21",2,"wv","n","5597899",NA,"m",NA,"bl",1,"back","ns","","","",NA,"",0,3,0,0,1,1,1,"m","xl","",NA,NA,NA,NA,NA,NA,NA,0,"5597899"
"54",54,54,"lm","vc01","sgi39",NA,"aa05",2020,"2020-07-21",2,"wv","r","10517254",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"10517254"
"55",55,55,"lm","vc05","sgi44",NA,"da8",2020,"2020-07-21",2,"wv","r","5668018",NA,"f",NA,"",NA,"","","","","",NA,"",NA,NA,0,NA,NA,NA,NA,"","","bloodspot and vagina open so closed traps around ",NA,NA,NA,NA,NA,NA,NA,0,"5668018"
"56",56,56,"lm","lm211","sgi44",NA,"f09",2020,"2020-07-21",2,"wv","n","5655885",NA,"f",180,"bl",0,NA,NA,"p","open","Y",2,"N",0,0,1,NA,1,1,1,"m","xl","",0,1,1,1,1,1,1,6,"5655885"
"57",57,57,"lm","lm212","sgi44",NA,"p51",2020,"2020-07-21",2,"wv","n","10864798",NA,"f",190,"bl/br",0,NA,NA,"p","open","Y",4,"Y",NA,2,0,0,1,1,1,"m","xl","bloodspot + wet",1,1,1,1,0,1,1,6,"10864798"
"58",58,58,"lm","lm213","sgi44",NA,"a76",2020,"2020-07-21",2,"wv","n","10505144",NA,"m",140,"bl",1,"head","s","","","",NA,"",1,8,0,0,1,1,1,"m","xl","",0,0,1,1,1,1,2,6,"10505144"
"59",59,59,"lm","lm214","sgi0103",NA,"cl42",2020,"2020-07-21",1,"wv","n","10848959",NA,"m",145,"bl",0,NA,"ms","","","",NA,"",0,2,0,0,1,1,1,"m","xl","",0,1,1,1,2,2,2,9,"10848959"
"60",60,60,"lm","lm215","sgi0103",NA,"x25",2020,"2020-07-21",1,"wv","n","6476389",NA,"f",140,"bl",1,"head",NA,"p","closed","N",3,"N",0,0,0,0,1,1,1,"m","xl","",0,1,1,1,0,1,1,5,"6476389"
"61",61,61,"lm","lm216","sgi0103",NA,"da6",2020,"2020-07-21",1,"wv","n","6476256",NA,"m",190,"bl/br",0,NA,"s","","","",NA,"",0,8,0,0,1,1,1,"m","xl","",NA,NA,NA,NA,NA,NA,NA,0,"6476256"
"62",62,62,"lm","lm217","sgi39",NA,"d14",2020,"2020-07-23",4,"wv","n","5601822",NA,"f",160,"bl",1,"back",NA,"p","open","Y",4,"Y",0,5,0,0,1,0,0,"","","blood spot; kink tail",1,0,1,1,2,0,1,6,"5601822"
"63",63,63,"lm","","sgi39",NA,"c12",2020,"2020-07-23",4,"wv","r","5670699",NA,"",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",1,1,1,1,1,1,1,7,"5670699"
"64",64,64,"lm","lm218","sgi39",NA,"x33",2020,"2020-07-23",4,"wv","n","5600906",NA,"m",100,"bl",1,"head","s","","","",NA,"",0,0,0,0,1,1,1,"m","lm","",0,0,1,1,1,1,1,5,"5600906"
